,Land,Employment to population ratio,Employment in agriculture in % ,Employment in services in %,Unemployment in %,Child labour in %,Working poor at PPP$3.20 a day in %,High-skill to low-skill ratio
171,Gambia,54.021,27.121,57.194,9.056,16.9,31.629,0.4689393131083212
172,Ethiopia,77.895,66.129,23.679,2.081,48.56393,63.015,0.1594004471846822
173,Malawi,72.381,43.649,42.545,5.653,19.38,86.898,0.18501669067241183
174,Congo (Democratic Republic of the),60.774,65.431,24.821,4.236,26.74,86.533,0.901890403302546
175,Guinea-Bissau,70.19,68.138,24.859,2.466,36.2031,78.913,NaN
176,Liberia,74.167,43.273,46.51,2.814,14,69.405,0.7569150243634417
177,Guinea,58.89,61.742,32.102,4.296,24.18837,63.533,NaN
178,Yemen,33.094,28.976,60.976,12.91,NaN,85.079,1.5295193643844025
179,Eritrea,74.355,61.213,30.339,5.144,NaN,75.119,NaN
180,Mozambique,75.566,70.335,21.215,3.241,NaN,73.841,0.8806563991010652
181,Burkina Faso,62.268,25.225,41.073,6.264,42.00244,69.075,1.2859772121823025
182,Sierra Leone,55.333,54.931,38.612,4.428,25.2,75.163,2.9623976038396305
183,Mali,65.697,62.591,29.83,7.224,13.2,76.148,2.0385913251094308
184,Burundi,78.024,92.023,6.512,1.427,30.92166,89.362,5.2048591938155715
185,South Sudan,63.523,56.875,29.235,12.244,NaN,NaN,NaN
186,Chad,69.362,76.556,21.344,1.891,38.95,61.738,NaN
187,Central African Republic,69.307,77.323,17.273,3.68,30.45911,82.457,NaN
188,Niger,71.7,75.063,17.743,0.475,34.39538,73.823,1.5539007126140827
