,pid,model,price,country_code,country,region,income group,scraped_date,model_en,price2,price_local_currency
144,7,Apple TV 4K,199 €,FI,Finland,Europe & Central Asia,High income,2022-01-02 21:52:18.126048,Apple TV 4K,199,199.0
145,8,Apple Watch SE,Alkaen 309 €,FI,Finland,Europe & Central Asia,High income,2022-01-02 21:52:18.126048,Apple Watch SE,309,309.0
146,9,Apple Watch Series 3,Alkaen 229 €,FI,Finland,Europe & Central Asia,High income,2022-01-02 21:52:18.126048,Apple Watch Series 3,229,229.0
147,10,Urheiluranneke,49 €,FI,Finland,Europe & Central Asia,High income,2022-01-02 21:52:18.126048,Sport Band,49,49.0
148,11,iPad,Alkaen 399 €,FI,Finland,Europe & Central Asia,High income,2022-01-02 21:52:18.126048,iPad,399,399.0
149,12,iPad Pro,Alkaen 909 €,FI,Finland,Europe & Central Asia,High income,2022-01-02 21:52:18.126048,iPad Pro,909,909.0
150,13,Apple Pencil (2. sukupolvi),135 €,FI,Finland,Europe & Central Asia,High income,2022-01-02 21:52:18.126048,Apple Pencil (2nd generation),135,135.0
151,14,24 tuuman iMac²,Alkaen 1 499 €,FI,Finland,Europe & Central Asia,High income,2022-01-02 21:52:18.126048,24-inch iMac,1499,1499.0
152,15,MacBook Air,Alkaen 1 159 €,FI,Finland,Europe & Central Asia,High income,2022-01-02 21:52:18.126048,MacBook Air,1159,1159.0
153,16,Magic Mouse,85 €,FI,Finland,Europe & Central Asia,High income,2022-01-02 21:52:18.126048,Magic Mouse,85,85.0
155,1,iPhone SE,À partir de 489 €,FR,France,Europe & Central Asia,High income,2022-01-02 21:52:19.284673,iPhone SE,489,489.0
156,2,iPhone 12,À partir de 689 €,FR,France,Europe & Central Asia,High income,2022-01-02 21:52:19.284673,iPhone 12,689,689.0
158,4,AirPods Pro,279 €,FR,France,Europe & Central Asia,High income,2022-01-02 21:52:19.284673,AirPods Pro,279,279.0
159,5,AirPods(2ᵉ génération),149 €,FR,France,Europe & Central Asia,High income,2022-01-02 21:52:19.284673,AirPods(2nd generation),149,149.0
161,7,Apple TV 4K,199 €,FR,France,Europe & Central Asia,High income,2022-01-02 21:52:19.284673,Apple TV 4K,199,199.0
162,8,Apple Watch SE,À partir de 299 €,FR,France,Europe & Central Asia,High income,2022-01-02 21:52:19.284673,Apple Watch SE,299,299.0
163,9,Apple Watch Series 3,À partir de 219 €,FR,France,Europe & Central Asia,High income,2022-01-02 21:52:19.284673,Apple Watch Series 3,219,219.0
164,10,Bracelet Sport,49 €,FR,France,Europe & Central Asia,High income,2022-01-02 21:52:19.284673,Sport Band,49,49.0
165,11,iPad,À partir de 389 €,FR,France,Europe & Central Asia,High income,2022-01-02 21:52:19.284673,iPad,389,389.0
166,12,iPad Pro,À partir de 899 €,FR,France,Europe & Central Asia,High income,2022-01-02 21:52:19.284673,iPad Pro,899,899.0
167,13,Apple Pencil (2ᵉ génération),135 €,FR,France,Europe & Central Asia,High income,2022-01-02 21:52:19.284673,Apple Pencil (2nd generation),135,135.0
168,14,iMac 24 pouces²,À partir de 1 449 €,FR,France,Europe & Central Asia,High income,2022-01-02 21:52:19.284673,24-inch iMac,1449,1449.0
169,15,MacBook Air,À partir de 1 129 €,FR,France,Europe & Central Asia,High income,2022-01-02 21:52:19.284673,MacBook Air,1129,1129.0
170,16,Magic Mouse,85 €,FR,France,Europe & Central Asia,High income,2022-01-02 21:52:19.284673,Magic Mouse,85,85.0
172,1,iPhone SE,Induló ár: 174 990 Ft,HU,Hungary,Europe & Central Asia,High income,2022-01-02 21:52:20.418188,iPhone SE,174990,174990.0
173,2,iPhone 12,Induló ár: 249 990 Ft,HU,Hungary,Europe & Central Asia,High income,2022-01-02 21:52:20.418188,iPhone 12,249990,249990.0
175,4,AirPods Pro,99 990 Ft,HU,Hungary,Europe & Central Asia,High income,2022-01-02 21:52:20.418188,AirPods Pro,99990,99990.0
176,5,AirPods(2. generáció),52 990 Ft,HU,Hungary,Europe & Central Asia,High income,2022-01-02 21:52:20.418188,AirPods(2nd generation),52990,52990.0
178,7,Apple TV 4K,71 990 Ft,HU,Hungary,Europe & Central Asia,High income,2022-01-02 21:52:20.418188,Apple TV 4K,71990,71990.0
179,8,Apple Watch SE,Induló ár: 109 990 Ft,HU,Hungary,Europe & Central Asia,High income,2022-01-02 21:52:20.418188,Apple Watch SE,109990,109990.0
180,9,Apple Watch Series 3,Induló ár: 77 990 Ft,HU,Hungary,Europe & Central Asia,High income,2022-01-02 21:52:20.418188,Apple Watch Series 3,77990,77990.0
181,10,Sportszíj,17 990 Ft,HU,Hungary,Europe & Central Asia,High income,2022-01-02 21:52:20.418188,Sport Band,17990,17990.0
182,11,iPad,Induló ár: 134 990 Ft,HU,Hungary,Europe & Central Asia,High income,2022-01-02 21:52:20.418188,iPad,134990,134990.0
183,12,iPad Pro,Induló ár: 324 990 Ft,HU,Hungary,Europe & Central Asia,High income,2022-01-02 21:52:20.418188,iPad Pro,324990,324990.0
184,13,Apple Pencil (második generáció),49 990 Ft,HU,Hungary,Europe & Central Asia,High income,2022-01-02 21:52:20.418188,Apple Pencil (2nd generation),49990,49990.0
185,14,24 hüvelykes iMac²,Induló ár: 539 990 Ft,HU,Hungary,Europe & Central Asia,High income,2022-01-02 21:52:20.418188,24-inch iMac,539990,539990.0
186,15,MacBook Air,Induló ár: 429 990 Ft,HU,Hungary,Europe & Central Asia,High income,2022-01-02 21:52:20.418188,MacBook Air,429990,429990.0
187,16,Magic Mouse,34 990 Ft,HU,Hungary,Europe & Central Asia,High income,2022-01-02 21:52:20.418188,Magic Mouse,34990,34990.0
189,1,iPhone SE,From ₹39900.00‡,IN,India,South Asia,Lower middle income,2022-01-02 21:52:21.513688,iPhone SE,39900.00,39900.0
190,2,iPhone 12,From ₹59900.00‡,IN,India,South Asia,Lower middle income,2022-01-02 21:52:21.513688,iPhone 12,59900.00,59900.0
192,4,AirPods Pro,₹24900.00‡,IN,India,South Asia,Lower middle income,2022-01-02 21:52:21.513688,AirPods Pro,24900.00,24900.0
193,5,AirPods(2nd generation),₹12900.00‡,IN,India,South Asia,Lower middle income,2022-01-02 21:52:21.513688,AirPods(2nd generation),12900.00,12900.0
195,7,Apple TV 4K,From ₹18900.00‡,IN,India,South Asia,Lower middle income,2022-01-02 21:52:21.513688,Apple TV 4K,18900.00,18900.0
197,9,Apple Watch SE,From ₹29900.00‡,IN,India,South Asia,Lower middle income,2022-01-02 21:52:21.513688,Apple Watch SE,29900.00,29900.0
198,10,Apple Watch Series 3,From ₹20900.00‡,IN,India,South Asia,Lower middle income,2022-01-02 21:52:21.513688,Apple Watch Series 3,20900.00,20900.0
199,11,Sport Band,₹3900.00‡,IN,India,South Asia,Lower middle income,2022-01-02 21:52:21.513688,Sport Band,3900.00,3900.0
200,12,iPad,From ₹30900.00‡,IN,India,South Asia,Lower middle income,2022-01-02 21:52:21.513688,iPad,30900.00,30900.0
201,13,iPad Pro,From ₹71900.00‡,IN,India,South Asia,Lower middle income,2022-01-02 21:52:21.513688,iPad Pro,71900.00,71900.0
202,14,Apple Pencil (2nd generation),₹10900.00‡,IN,India,South Asia,Lower middle income,2022-01-02 21:52:21.513688,Apple Pencil (2nd generation),10900.00,10900.0
203,15,24-inch iMac²,From ₹119900.00‡,IN,India,South Asia,Lower middle income,2022-01-02 21:52:21.513688,24-inch iMac,119900.00,119900.0
204,16,MacBook Air,From ₹92900.00‡,IN,India,South Asia,Lower middle income,2022-01-02 21:52:21.513688,MacBook Air,92900.00,92900.0
205,17,Magic Mouse,₹7500.00‡,IN,India,South Asia,Lower middle income,2022-01-02 21:52:21.513688,Magic Mouse,7500.00,7500.0
207,1,iPhone SE,From €499,IE,Ireland,Europe & Central Asia,High income,2022-01-02 21:52:22.791120,iPhone SE,499,499.0
208,2,iPhone 12,From €709,IE,Ireland,Europe & Central Asia,High income,2022-01-02 21:52:22.791120,iPhone 12,709,709.0
210,4,AirPods Pro,€279,IE,Ireland,Europe & Central Asia,High income,2022-01-02 21:52:22.791120,AirPods Pro,279,279.0
211,5,AirPods(2nd generation),€149,IE,Ireland,Europe & Central Asia,High income,2022-01-02 21:52:22.791120,AirPods(2nd generation),149,149.0
213,7,Apple TV 4K,€199,IE,Ireland,Europe & Central Asia,High income,2022-01-02 21:52:22.791120,Apple TV 4K,199,199.0
214,8,Apple Watch SE,From €299,IE,Ireland,Europe & Central Asia,High income,2022-01-02 21:52:22.791120,Apple Watch SE,299,299.0
215,9,Apple Watch Series 3,From €219,IE,Ireland,Europe & Central Asia,High income,2022-01-02 21:52:22.791120,Apple Watch Series 3,219,219.0
216,10,Sport Band,€49,IE,Ireland,Europe & Central Asia,High income,2022-01-02 21:52:22.791120,Sport Band,49,49.0
217,11,iPad,From €399,IE,Ireland,Europe & Central Asia,High income,2022-01-02 21:52:22.791120,iPad,399,399.0
218,12,iPad Pro,From €909,IE,Ireland,Europe & Central Asia,High income,2022-01-02 21:52:22.791120,iPad Pro,909,909.0
219,13,Apple Pencil (2nd generation),€135,IE,Ireland,Europe & Central Asia,High income,2022-01-02 21:52:22.791120,Apple Pencil (2nd generation),135,135.0
