,Land,HDI,Life expactancy at birth in years,Mean years of schooling in years,Gross national income (GNI) per capita in US$,IHDI,Inequality in life expectancy in%,Inequality in education in %,Inequality in income in %,Income Shares of top 1%,Income Shares of top 1%,GINI,Gender Inequality Index,Maternal mortality ratio per 100.000,Share of female seats in parliament in %,Employment to population ratio,Employment in agriculture in % ,Employment in services in %,Unemployment in %,Child labour in %,Working poor at PPP$3.20 a day in %,High-skill to low-skill ratio,Prison population per 100.000,Homocide rate per 100.000,Suicide rate (female) per 100.000,Suicide rate (male) per 100.000,Internet User in %,Mobile phone subscriptions per 100 people
91,Lebanon,0.744,78.93,8.718636,14654.53395,NaN,7.4,6.2,NaN,24.8,23.360001,31.8,0.411,29,4.6875,44.085,13.609,63.934,6.229,NaN,0.21,NaN,92.3,2.492926503,2.2,4.2,78.1808,64.4981
92,Fiji,0.743,67.44,10.90163,13009.07311,NaN,14.9,NaN,NaN,29.7,NaN,36.7,0.37,34,19.60784314,55.279,36.26,50.414,4.101,NaN,7.225,1.699888828563303,209.4,2.308277367,2.5,8.8,49.9664,117.831
93,Dominica,0.742,78.21,8.142186,11883.95528,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,267.6,26.58830115,NaN,NaN,69.6197,105.788
94,Maldives,0.74,78.92,7.020278,17416.77777,0.584,6,29.3,25.8459,25.2,NaN,31.3,0.369,53,4.597701149,65.507,8.47,73.146,6.138,NaN,8.945,3.397583121912138,373.4,0.721861826,1.6,3.6,63.1857,166.364
95,Tunisia,0.74,76.7,7.22022,10414.06361,0.596,9,30.70285,16.88955,25.6,10.74,32.8,0.296,43,22.58064516,38.734,13.031,54.419,16.022,2.2546,0.89,0.9501136909797662,194.6,NaN,2.2,4.4,64.1908,127.707
96,Saint Vincent and the Grenadines,0.738,72.53,8.784648,12377.65413,NaN,11.3,NaN,NaN,NaN,NaN,NaN,NaN,68,13.04347826,53.432,10.727,69.339,18.881,NaN,NaN,NaN,426.4,36.54069263,0.9,3.9,22.3943,96.0657
97,Suriname,0.738,71.68,9.261387,14324.37746,0.535,12.8,18.36769,46.69631,NaN,NaN,NaN,0.436,120,31.37254902,47.385,7.518,69.013,7.334,4.3,14.362,3.1923159018143012,192,5.433820449,10.9,36.1,48.9452,130.605
98,Mongolia,0.737,69.87,10.2512725,10838.6743,0.634,13.1,11.88363,16.94628,25.7,NaN,32.7,0.322,45,17.33333333,56.089,27.424,53.212,6.011,14.7,2.018,2.8624058716995524,151.5,6.182547929,3.8,23.3,23.7143,133.178
99,Botswana,0.735,69.59,9.56,16437.14142,NaN,19.4,23.27683,NaN,41.5,22.6,53.3,0.465,144,10.76923077,57.935,20.687,61.197,18.193,NaN,28.303,0.5903841889502321,197,NaN,5.7,18.3,47,150.006
100,Jamaica,0.734,74.48,9.73305,9319.131127,0.612,10,5.6,32,NaN,NaN,NaN,0.396,80,19.04761905,60.746,15.93,67.901,8.002,2.9,3.336,1.5849712178558826,132,43.85228153,0.9,3.2,55.0721,101.027
